Date,^GSPC,^HSI,^N225
2014-06-20,1962.8699951171875,23194.060546875,15349.419921875
2014-06-23,1962.6099853515625,22804.810546875,15369.2802734375
2014-06-24,1949.97998046875,22880.640625,15376.240234375
2014-06-25,1959.530029296875,22866.69921875,15266.6103515625
2014-06-26,1957.219970703125,23197.830078125,15308.490234375
2014-06-27,1960.9599609375,23221.51953125,15095.0
2014-06-30,1960.22998046875,23190.720703125,15162.099609375
2014-07-02,1974.6199951171875,23549.619140625,15369.9697265625
2014-07-03,1985.43994140625,23531.439453125,15348.2900390625
2014-07-07,1977.6500244140625,23540.919921875,15379.4404296875
2014-07-08,1963.7099609375,23541.380859375,15314.41015625
2014-07-09,1972.8299560546875,23176.0703125,15302.650390625
2014-07-10,1964.6800537109375,23238.990234375,15216.4697265625
2014-07-11,1967.5699462890625,23233.44921875,15164.0400390625
2014-07-14,1977.0999755859375,23346.669921875,15296.8203125
2014-07-15,1973.280029296875,23459.9609375,15395.16015625
2014-07-16,1981.5699462890625,23523.279296875,15379.2998046875
2014-07-17,1958.1199951171875,23520.869140625,15370.259765625
2014-07-18,1978.219970703125,23454.7890625,15215.7099609375
2014-07-22,1983.530029296875,23782.109375,15343.2802734375
2014-07-23,1987.010009765625,23971.869140625,15328.5595703125
2014-07-24,1987.97998046875,24141.5,15284.419921875
2014-07-25,1978.3399658203125,24216.009765625,15457.8701171875
2014-07-28,1978.9100341796875,24428.630859375,15529.400390625
2014-07-29,1969.949951171875,24640.529296875,15618.0703125
2014-07-30,1970.0699462890625,24732.2109375,15646.23046875
2014-07-31,1930.6700439453125,24756.849609375,15620.76953125
2014-08-01,1925.1500244140625,24532.4296875,15523.1103515625
2014-08-04,1938.989990234375,24600.080078125,15474.5
2014-08-05,1920.2099609375,24648.259765625,15320.3095703125
2014-08-06,1920.239990234375,24584.130859375,15159.7900390625
2014-08-07,1909.5699462890625,24387.560546875,15232.3701171875
2014-08-08,1931.5899658203125,24331.41015625,14778.3701171875
2014-08-11,1936.9200439453125,24646.01953125,15130.51953125
2014-08-12,1933.75,24689.41015625,15161.3095703125
2014-08-13,1946.719970703125,24890.33984375,15213.6298828125
2014-08-14,1955.1800537109375,24801.359375,15314.5703125
2014-08-15,1955.06005859375,24954.939453125,15318.33984375
2014-08-18,1971.739990234375,24955.4609375,15322.599609375
2014-08-19,1981.5999755859375,25122.94921875,15449.7900390625
2014-08-20,1986.510009765625,25159.759765625,15454.4501953125
2014-08-21,1992.3699951171875,24994.099609375,15586.2001953125
2014-08-22,1988.4000244140625,25112.23046875,15539.1904296875
2014-08-25,1997.9200439453125,25166.91015625,15613.25
2014-08-26,2000.02001953125,25074.5,15521.2197265625
2014-08-27,2000.1199951171875,24918.75,15534.8203125
2014-08-28,1996.739990234375,24741.0,15459.8603515625
2014-08-29,2003.3699951171875,24742.060546875,15424.58984375
2014-09-02,2002.280029296875,24749.01953125,15668.599609375
2014-09-03,2000.719970703125,25317.94921875,15728.349609375
2014-09-04,1997.6500244140625,25297.919921875,15676.1796875
2014-09-05,2007.7099609375,25240.150390625,15668.6796875
2014-09-08,2001.5400390625,25190.44921875,15705.1103515625
2014-09-10,1995.68994140625,24705.359375,15788.7802734375
2014-09-11,1997.449951171875,24662.640625,15909.2001953125
2014-09-12,1985.5400390625,24595.3203125,15948.2900390625
2014-09-16,1998.97998046875,24136.009765625,15911.5302734375
2014-09-17,2001.5699462890625,24376.41015625,15888.669921875
2014-09-18,2011.3599853515625,24168.720703125,16067.5703125
2014-09-19,2010.4000244140625,24306.16015625,16321.169921875
2014-09-22,1994.2900390625,23955.490234375,16205.900390625
2014-09-24,1998.300048828125,23921.609375,16167.4501953125
2014-09-25,1965.989990234375,23768.130859375,16374.1396484375
2014-09-26,1982.8499755859375,23678.41015625,16229.8603515625
2014-09-29,1977.800048828125,23229.2109375,16310.6396484375
2014-09-30,1972.2900390625,22932.98046875,16173.51953125
2014-10-03,1967.9000244140625,23064.560546875,15708.650390625
2014-10-06,1964.8199462890625,23315.0390625,15890.9501953125
2014-10-07,1935.0999755859375,23422.51953125,15783.830078125
2014-10-08,1968.8900146484375,23263.330078125,15595.98046875
2014-10-09,1928.2099609375,23534.529296875,15478.9296875
2014-10-10,1906.1300048828125,23088.5390625,15300.5498046875
2014-10-14,1877.699951171875,23047.970703125,14936.509765625
2014-10-15,1862.489990234375,23140.05078125,15073.51953125
2014-10-16,1862.760009765625,22900.939453125,14738.3798828125
2014-10-17,1886.760009765625,23023.2109375,14532.509765625
2014-10-20,1904.010009765625,23070.259765625,15111.23046875
2014-10-21,1941.280029296875,23088.580078125,14804.2802734375
2014-10-22,1927.1099853515625,23403.970703125,15195.76953125
2014-10-23,1950.8199462890625,23333.1796875,15138.9599609375
2014-10-24,1964.5799560546875,23302.19921875,15291.6396484375
2014-10-27,1961.6300048828125,23143.23046875,15388.7197265625
2014-10-28,1985.050048828125,23520.359375,15329.91015625
2014-10-29,1982.300048828125,23819.869140625,15553.91015625
2014-10-30,1994.6500244140625,23702.0390625,15658.2001953125
2014-10-31,2018.050048828125,23998.060546875,16413.759765625
2014-11-04,2012.0999755859375,23845.66015625,16862.470703125
2014-11-05,2023.5699462890625,23695.619140625,16937.3203125
2014-11-06,2031.2099609375,23649.310546875,16792.48046875
2014-11-07,2031.9200439453125,23550.240234375,16880.380859375
2014-11-10,2038.260009765625,23744.69921875,16780.529296875
2014-11-11,2039.6800537109375,23808.279296875,17124.109375
2014-11-12,2038.25,23938.1796875,17197.05078125
2014-11-13,2039.3299560546875,24019.939453125,17392.7890625
2014-11-14,2039.8199462890625,24087.380859375,17490.830078125
2014-11-17,2041.3199462890625,23797.080078125,16973.80078125
2014-11-18,2051.800048828125,23529.169921875,17344.060546875
2014-11-19,2048.719970703125,23373.310546875,17288.75
2014-11-20,2052.75,23349.640625,17300.859375
2014-11-21,2063.5,23437.119140625,17357.509765625
2014-11-25,2067.030029296875,23843.91015625,17407.619140625
2014-11-26,2072.830078125,24111.98046875,17383.580078125
2014-11-28,2067.56005859375,23987.44921875,17459.849609375
2014-12-01,2053.43994140625,23367.44921875,17590.099609375
2014-12-02,2066.550048828125,23654.30078125,17663.220703125
2014-12-03,2074.330078125,23428.619140625,17720.4296875
2014-12-04,2071.919921875,23832.560546875,17887.2109375
2014-12-05,2075.3701171875,24002.640625,17920.44921875
2014-12-08,2060.31005859375,24047.669921875,17935.640625
2014-12-09,2059.820068359375,23485.830078125,17813.380859375
2014-12-10,2026.1400146484375,23524.51953125,17412.580078125
2014-12-11,2035.3299560546875,23312.5390625,17257.400390625
2014-12-12,2002.3299560546875,23249.19921875,17371.580078125
2014-12-15,1989.6300048828125,23027.849609375,17099.400390625
2014-12-16,1972.739990234375,22670.5,16755.3203125
2014-12-17,2012.8900146484375,22585.83984375,16819.73046875
2014-12-18,2061.22998046875,22832.2109375,17210.05078125
2014-12-19,2070.64990234375,23116.630859375,17621.400390625
2014-12-22,2078.5400390625,23408.5703125,17635.140625
2014-12-24,2081.8798828125,23349.33984375,17854.23046875
2014-12-29,2090.570068359375,23773.1796875,17729.83984375
2014-12-30,2080.35009765625,23501.099609375,17450.76953125
2015-01-05,2020.5799560546875,23721.3203125,17408.7109375
2015-01-06,2002.6099853515625,23485.41015625,16883.189453125
2015-01-07,2025.9000244140625,23681.259765625,16885.330078125
2015-01-08,2062.139892578125,23835.529296875,17167.099609375
2015-01-09,2044.81005859375,23919.94921875,17197.73046875
2015-01-13,2023.030029296875,24215.970703125,17087.7109375
2015-01-14,2011.27001953125,24112.599609375,16795.9609375
2015-01-15,1992.6700439453125,24350.91015625,17108.69921875
2015-01-16,2019.4200439453125,24103.51953125,16864.16015625
2015-01-20,2022.550048828125,23951.16015625,17366.30078125
2015-01-21,2032.1199951171875,24352.580078125,17280.48046875
2015-01-22,2063.14990234375,24522.630859375,17329.01953125
2015-01-23,2051.820068359375,24850.44921875,17511.75
2015-01-26,2057.090087890625,24909.900390625,17468.51953125
2015-01-27,2029.550048828125,24807.279296875,17768.30078125
2015-01-28,2002.1600341796875,24861.810546875,17795.73046875
2015-01-29,2021.25,24595.849609375,17606.220703125
2015-01-30,1994.989990234375,24507.05078125,17674.390625
2015-02-02,2020.8499755859375,24484.740234375,17558.0390625
2015-02-03,2050.030029296875,24554.779296875,17335.849609375
2015-02-04,2041.510009765625,24679.759765625,17678.740234375
2015-02-05,2062.52001953125,24765.490234375,17504.619140625
2015-02-06,2055.469970703125,24679.390625,17648.5
2015-02-09,2046.739990234375,24521.0,17711.9296875
2015-02-10,2068.590087890625,24528.099609375,17652.6796875
2015-02-12,2088.47998046875,24422.150390625,17979.720703125
2015-02-13,2096.989990234375,24682.5390625,17913.359375
2015-02-17,2100.340087890625,24784.880859375,17987.08984375
2015-02-18,2099.679931640625,24832.080078125,18199.169921875
2015-02-23,2109.659912109375,24836.759765625,18466.919921875
2015-02-24,2115.47998046875,24750.0703125,18603.48046875
2015-02-25,2113.860107421875,24778.279296875,18585.19921875
2015-02-26,2110.739990234375,24902.060546875,18785.7890625
2015-02-27,2104.5,24823.2890625,18797.939453125
2015-03-02,2117.389892578125,24887.439453125,18826.880859375
2015-03-03,2107.780029296875,24702.779296875,18815.16015625
2015-03-04,2098.530029296875,24465.380859375,18703.599609375
2015-03-05,2101.0400390625,24193.0390625,18751.83984375
2015-03-06,2071.260009765625,24164.0,18971.0
2015-03-09,2079.429931640625,24123.05078125,18790.55078125
2015-03-10,2044.1600341796875,23896.98046875,18665.109375
2015-03-11,2040.239990234375,23717.970703125,18723.51953125
2015-03-12,2065.949951171875,23797.9609375,18991.109375
2015-03-13,2053.39990234375,23823.2109375,19254.25
2015-03-16,2081.18994140625,23949.55078125,19246.060546875
2015-03-17,2074.280029296875,23901.490234375,19437.0
2015-03-18,2099.5,24120.080078125,19544.48046875
2015-03-19,2089.27001953125,24468.890625,19476.560546875
2015-03-20,2108.10009765625,24375.240234375,19560.220703125
2015-03-23,2104.419921875,24494.509765625,19754.359375
2015-03-24,2091.5,24399.599609375,19713.44921875
2015-03-25,2061.050048828125,24528.23046875,19746.19921875
2015-03-26,2056.14990234375,24497.080078125,19471.119140625
2015-03-27,2061.02001953125,24486.19921875,19285.630859375
2015-03-30,2086.239990234375,24855.119140625,19411.400390625
2015-03-31,2067.889892578125,24900.890625,19206.990234375
2015-04-01,2059.68994140625,25082.75,19034.83984375
2015-04-02,2066.9599609375,25275.640625,19312.7890625
2015-04-08,2081.89990234375,26236.859375,19789.810546875
2015-04-09,2091.179931640625,26944.390625,19937.720703125
